#
# contig_name	read_name
#
minuta_c1	GO1G54I02IH7Z8
minuta_c1	GO1G54I02FQN2Y
minuta_c1	GO1G54I02H9CWC
minuta_c1	GO1G54I02FG03T
minuta_c1	GO1G54I02HXG5T
minuta_c1	GO1G54I02G157S
minuta_c1	GO1G54I02FGZKX
minuta_c1	GO1G54I02F0DPH
minuta_c1	GO1G54I02GTX9S
minuta_c1	GO1G54I02GWC6F
minuta_c1	GO1G54I02JTMAC
minuta_c1	GO1G54I02I3UQD
minuta_c1	GO1G54I02GNQ2X
minuta_c1	GO1G54I02ILK83
minuta_c1	GO1G54I02JMUBJ
minuta_c1	GO1G54I02HUG6C
minuta_c1	GO1G54I02FDR6K
minuta_c1	GO1G54I02GGIAG
minuta_c1	GO1G54I02IPD5Q
minuta_c2	GO1G54I02IUYHG
minuta_c2	GO1G54I02IVC64
minuta_c2	GO1G54I02JCWXA
minuta_c2	GO1G54I02H0VID
minuta_c2	GO1G54I02GKGFY
minuta_c2	GO1G54I02GXNZ6
minuta_c2	GO1G54I02G9QQL
minuta_c2	GO1G54I02H2KSI
minuta_c2	GO1G54I02IAIUN
minuta_c2	GO1G54I02GG29J
minuta_c2	GO1G54I02ITQ8T
minuta_c2	GO1G54I02GN6LO
minuta_c3	GO1G54I02H3XQP
minuta_c3	GO1G54I02JL5NE
minuta_c3	GO1G54I02IHJHQ
minuta_c3	GO1G54I02IUC9G
minuta_c3	GO1G54I02FA41Q
minuta_c3	GO1G54I02HBO29
minuta_c3	GO1G54I02FWDDS
minuta_c3	GO1G54I02HSJQJ
minuta_c3	GO1G54I02H2XU4
minuta_c3	GO1G54I02I9NFG
minuta_c3	GO1G54I02IEYJA
minuta_c3	GO1G54I02GR42K
minuta_c3	GO1G54I02FOMH5
minuta_c3	GO1G54I02H8O6T
minuta_c3	GO1G54I02H0FDY
minuta_c3	GO1G54I02GWZAF
minuta_c3	GO1G54I02F3F0V
minuta_c3	GO1G54I02HTTH3
minuta_c3	GO1G54I02FJJSN
minuta_c3	GO1G54I02I2NOG
minuta_c3	GO1G54I02FXQYZ
minuta_c3	GO1G54I02I6NH3
minuta_c3	GO1G54I02IMZ37
minuta_c3	GO1G54I02IWWRQ
minuta_c3	GO1G54I02J00YE
minuta_c3	GO1G54I02IPXAJ
minuta_c3	GO1G54I02JQ0AV
minuta_c3	GO1G54I02I7BVI
minuta_c3	GO1G54I02FJ3WW
minuta_c3	GO1G54I02GX13P
minuta_c3	GO1G54I02JEOQJ
minuta_c3	GO1G54I02HZ9T9
minuta_c3	GO1G54I02GQ6ZT
minuta_c3	GO1G54I02J4EMZ
minuta_c3	GO1G54I02H2FL0
minuta_c3	GO1G54I02IPKZB
minuta_c3	GO1G54I02GZOLS
minuta_c3	GO1G54I02GKE7L
minuta_c3	GO1G54I02HAB0C
minuta_c3	GO1G54I02I5EK8
minuta_c3	GO1G54I02GXUFN
minuta_c4	GO1G54I02FE7H9
minuta_c4	GO1G54I02IE300
minuta_c4	GO1G54I02JA9SG
minuta_c4	GO1G54I02G8NPL
minuta_c4	GO1G54I02HKK13
minuta_c4	GO1G54I02G0V3X
minuta_c4	GO1G54I02IO47Z
minuta_c4	GO1G54I02GCA95
minuta_c4	GO1G54I02HSHHW
minuta_c4	GO1G54I02IRKNI
minuta_c4	GO1G54I02HUJB6
minuta_c4	GO1G54I02JQJIR
minuta_c4	GO1G54I02JWWQV
minuta_c4	GO1G54I02HD4WW
minuta_c4	GO1G54I02GN4HU
minuta_c4	GO1G54I02HLG8P
minuta_c4	GO1G54I02IKA10
minuta_c4	GO1G54I02HHNPT
minuta_c4	GO1G54I02GIX4V
minuta_c4	GO1G54I02HGZJW
minuta_c4	GO1G54I02JUMT3
minuta_c4	GO1G54I02G29PI
minuta_c4	GO1G54I02I7QUD
minuta_c4	GO1G54I02FFVCY
minuta_c4	GO1G54I02GNLUG
minuta_c4	GO1G54I02HQOMX
minuta_c4	GO1G54I02I29L2
minuta_c4	GO1G54I02GZOR5
minuta_c4	GO1G54I02FL38I
minuta_c4	GO1G54I02IHI31
minuta_c5	GO1G54I02HU8SD
minuta_c5	GO1G54I02HF2MW
minuta_c5	GO1G54I02JMLBJ
minuta_c5	GO1G54I02IFTLZ
minuta_c5	GO1G54I02IGW7I
minuta_c5	GO1G54I02GVS6G
minuta_c5	GO1G54I02H92B2
minuta_c5	GO1G54I02HB8Z5
minuta_c5	GO1G54I02GODCX
minuta_c5	GO1G54I02GYWQ3
minuta_c5	GO1G54I02JDANL
minuta_c5	GO1G54I02IR6DB
minuta_c5	GO1G54I02JFM2P
minuta_c5	GO1G54I02I7CKM
minuta_c5	GO1G54I02JBY6J
minuta_c5	GO1G54I02HARCW
minuta_c5	GO1G54I02HRBJU
minuta_c5	GO1G54I02F71U6
minuta_c5	GO1G54I02J3BMZ
minuta_c5	GO1G54I02F49X4
minuta_c5	GO1G54I02FIBE7
minuta_c5	GO1G54I02GUFSQ
minuta_c5	GO1G54I02FO3YF
minuta_c5	GO1G54I02JD3TB
minuta_c5	GO1G54I02FYMF3
minuta_c5	GO1G54I02GY2MH
minuta_c5	GO1G54I02GP3B8
minuta_c5	GO1G54I02GAC3J
minuta_c5	GO1G54I02G2DYN
minuta_c5	GO1G54I02HONF5
minuta_c5	GO1G54I02FNDQG
minuta_c5	GO1G54I02F5CIK
minuta_c5	GO1G54I02GK83U
minuta_c5	GO1G54I02HDWXZ
minuta_c5	GO1G54I02HM77K
minuta_c5	GO1G54I02GBVE0
minuta_c5	GO1G54I02IXO4E
minuta_c5	GO1G54I02IZUPR
minuta_c5	GO1G54I02F0UMN
minuta_c5	GO1G54I02JFXOK
minuta_c5	GO1G54I02JDYOX
minuta_c5	GO1G54I02G3RQM
minuta_c5	GO1G54I02JRVT5
minuta_c5	GO1G54I02FPRLN
minuta_c5	GO1G54I02IT3XM
minuta_c5	GO1G54I02HLMH6
minuta_c5	GO1G54I02F64QE
minuta_c5	GO1G54I02IVRRU
minuta_c5	GO1G54I02IY8RV
minuta_c5	GO1G54I02FY0U5
minuta_c5	GO1G54I02JK6CU
minuta_c5	GO1G54I02GTDQS
minuta_c5	GO1G54I02I3QIL
minuta_c5	GO1G54I02FJYBV
minuta_c5	GO1G54I02HC4T9
minuta_c6	GO1G54I02HPO2K
minuta_c6	GO1G54I02GCO41
minuta_c6	GO1G54I02JHHHJ
minuta_c6	GO1G54I02IEPQM
minuta_c6	GO1G54I02GPHQW
minuta_c6	GO1G54I02GB9DM
minuta_c6	GO1G54I02JWNGO
minuta_c6	GO1G54I02JGCMP
minuta_c6	GO1G54I02GU604
minuta_c6	GO1G54I02FMF50
minuta_c6	GO1G54I02HUZAQ
minuta_c6	GO1G54I02HXWXC
minuta_c6	GO1G54I02IW3ZL
minuta_c6	GO1G54I02HD4JZ
minuta_c6	GO1G54I02JQR2W
minuta_c6	GO1G54I02IS30G
minuta_c6	GO1G54I02IIFHJ
minuta_c6	GO1G54I02HP6W9
minuta_c6	GO1G54I02JRYJT
minuta_c6	GO1G54I02GMCAE
minuta_c6	GO1G54I02JO466
minuta_c7	GO1G54I02HAQFN
minuta_c7	GO1G54I02G2LA6
minuta_c7	GO1G54I02JGP1A
minuta_c7	GO1G54I02FH4G8
minuta_c7	GO1G54I02FF116
minuta_c7	GO1G54I02IEGVL
minuta_c7	GO1G54I02FHEQU
minuta_c7	GO1G54I02HZDVF
minuta_c7	GO1G54I02JGBRN
minuta_c7	GO1G54I02FJZEQ
minuta_c7	GO1G54I02G2FZ5
minuta_c7	GO1G54I02I81U4
minuta_c7	GO1G54I02FXG35
minuta_c7	GO1G54I02F0DB8
minuta_c7	GO1G54I02IL7Y4
minuta_c7	GO1G54I02JJR0L
minuta_c7	GO1G54I02JTR3L
minuta_c7	GO1G54I02G5ZMO
minuta_c7	GO1G54I02G6YT2
minuta_c7	GO1G54I02J3ITS
minuta_c7	GO1G54I02J5XUK
minuta_c7	GO1G54I02IBVYA
minuta_c7	GO1G54I02HGSN0
minuta_c7	GO1G54I02FY9C2
minuta_c7	GO1G54I02I5H5V
minuta_c7	GO1G54I02FOTC2
minuta_c7	GO1G54I02GXG3U
minuta_c7	GO1G54I02IDHG9
minuta_c7	GO1G54I02GITIN
minuta_c7	GO1G54I02JNVCK
minuta_c7	GO1G54I02GQHQA
minuta_c8	GO1G54I02GX9N8
minuta_c8	GO1G54I02FDMAK
minuta_c8	GO1G54I02FWIBY
minuta_c8	GO1G54I02F8W5P
minuta_c8	GO1G54I02J3N32
minuta_c8	GO1G54I02ICL6M
minuta_c8	GO1G54I02GBZT6
minuta_c8	GO1G54I02FY5L7
minuta_c8	GO1G54I02IW8WM
minuta_c8	GO1G54I02GUD6W
minuta_c8	GO1G54I02H6M55
minuta_c8	GO1G54I02GUWTI
