# name              	length	av.qual	#-reads	mx.cov.	av.cov	GC%	CnIUPAC	CnFunny	CnN	CnX	CnGap	CnNoCov
minuta_c1           	498	54	19	10	4.67	52.95	7	0	0	0	3	0
minuta_c2           	699	56	12	10	3.84	44.72	17	0	0	0	1	0
minuta_c3           	1310	61	41	12	7.38	52.98	2	0	0	0	12	0
minuta_c4           	720	55	30	11	4.87	44.03	0	0	0	0	6	0
minuta_c5           	2169	70	55	17	6.58	45.35	10	0	0	0	15	0
minuta_c6           	1128	59	21	9	4.20	47.96	25	0	0	0	2	0
minuta_c7           	1724	70	31	11	5.46	49.88	0	0	0	0	8	0
minuta_c8           	2162	57	41	13	5.33	37.72	12	0	0	0	15	0
minuta_c9           	860	62	34	19	10.34	46.33	1	0	0	0	8	0
minuta_c10          	404	75	7	7	4.98	51.64	7	0	0	0	1	0
minuta_c11          	960	80	48	40	19.17	63.33	0	0	0	0	3	0
minuta_c12          	1287	64	21	9	4.94	49.38	5	0	0	0	5	0
minuta_c13          	1629	62	29	13	5.11	43.76	11	0	0	0	3	0
minuta_c14          	2337	62	49	14	5.67	44.45	11	0	0	0	8	0
minuta_c15          	1847	66	53	19	7.92	53.85	5	0	0	0	15	0
minuta_c16          	333	66	31	19	9.20	66.37	0	0	0	0	2	0
minuta_c17          	1265	61	20	8	4.51	38.95	2	0	0	0	5	0
minuta_c18          	849	64	28	13	5.15	40.10	26	0	0	0	3	0
minuta_c19          	1164	59	22	10	3.69	45.49	12	0	0	0	5	0
minuta_c20          	877	68	49	44	16.87	43.61	1	0	0	0	4	0
minuta_c21          	826	60	20	13	5.86	41.95	6	0	0	0	5	0
minuta_c22          	876	54	11	6	3.47	41.27	11	0	0	0	2	0
minuta_c23          	947	76	57	38	17.03	43.61	0	0	0	0	2	0
minuta_c24          	1844	62	33	12	4.77	48.32	27	0	0	0	3	0
minuta_c25          	372	44	8	8	3.05	73.39	0	0	0	0	2	0
minuta_c26          	3623	71	111	16	8.40	44.86	3	0	0	0	25	0
minuta_c27          	300	64	25	11	6.54	44.15	1	0	0	0	5	0
minuta_c28          	2048	66	37	12	5.19	45.34	21	0	0	0	8	0
minuta_c29          	1272	53	20	10	3.95	59.70	9	0	0	0	3	0
minuta_c30          	1774	54	29	7	3.97	48.86	20	0	0	0	3	0
minuta_c31          	708	61	19	10	5.47	46.52	3	0	0	0	5	0
minuta_c32          	491	50	5	5	2.62	58.66	0	0	0	0	3	0
minuta_c33          	564	36	7	7	3.94	45.21	0	0	0	0	2	0
minuta_c34          	2653	68	81	16	7.13	41.99	5	0	0	0	19	0
minuta_c35          	2286	55	30	10	3.42	39.26	24	0	0	0	10	0
minuta_c36          	1267	69	28	12	5.21	43.82	5	0	0	0	8	0
minuta_c37          	851	59	8	5	2.77	57.60	2	0	0	0	0	0
minuta_c38          	1006	60	22	9	5.53	61.35	10	0	0	0	6	0
minuta_c39          	1906	48	23	8	3.13	43.20	31	0	0	0	11	0
minuta_c40          	3051	64	66	19	5.70	45.04	18	0	0	0	9	0
minuta_c41          	906	41	10	8	2.78	45.22	6	0	0	0	1	0
minuta_c42          	325	71	8	8	5.95	46.15	0	0	0	0	0	0
minuta_c43          	582	48	6	5	2.46	56.19	0	0	0	0	0	0
minuta_c44          	371	44	5	5	2.24	44.17	2	0	0	0	1	0
minuta_c45          	401	57	8	8	4.14	58.85	0	0	0	0	1	0
minuta_c46          	651	59	14	12	6.08	33.96	9	0	0	0	5	0
minuta_c47          	417	50	5	5	1.99	36.32	4	0	0	0	1	0
minuta_c48          	1518	54	23	11	3.70	39.03	12	0	2	0	10	0
minuta_c49          	1025	61	28	13	6.31	41.10	3	0	0	0	2	0
minuta_c50          	503	39	7	6	2.96	29.78	6	0	0	0	5	0
minuta_c51          	347	60	25	17	6.60	42.36	0	0	0	0	3	0
minuta_c52          	1545	60	29	17	5.13	43.05	35	0	0	0	6	0
minuta_c53          	724	65	16	8	5.11	38.57	11	0	0	0	3	0
minuta_c54          	581	68	12	11	5.38	71.61	35	0	0	0	4	0
minuta_c55          	406	61	41	27	7.44	46.38	5	0	0	0	2	0
minuta_c56          	1305	63	33	17	7.11	42.41	1	0	0	0	7	0
minuta_c57          	1184	62	28	12	5.62	42.19	25	0	0	0	12	0
minuta_c58          	683	76	141	44	18.64	65.45	0	0	0	0	9	0
minuta_c59          	700	64	8	6	3.26	40.32	13	0	0	0	4	0
minuta_c60          	607	54	46	16	6.55	42.98	2	0	0	0	8	0
minuta_c61          	374	78	39	29	12.27	44.39	0	0	0	0	2	0
minuta_c62          	1022	55	22	10	5.18	42.28	5	0	0	0	7	0
minuta_c63          	508	47	8	7	3.64	33.14	1	0	0	0	1	0
minuta_c64          	772	51	20	14	5.30	49.15	3	0	0	0	0	0
minuta_c65          	284	50	5	5	2.71	43.77	3	0	0	0	0	0
